IdentifiantMaison,Chambres,Salon,SalleDeBainInterieure,Parking,Meuble,Jardin,Superficie_m2,DistanceRoute_m,Quartier,AgeMaison,LoyerMensuel_BIF,Salon_Bin,SalleDeBainInterieure_Bin,Parking_Bin,Meuble_Bin,Jardin_Bin,Quartier_Target,LoyerMensuel_Log1
192,1.0,Oui,Oui,Non,Non,Non,46.0,154.0,Buyenzi,20.0,199931,1,1,0,0,0,0.010427934749686295,12.205732587717069
281,4.0,Oui,Oui,Non,Non,Non,217.0,211.0,Kinama,23.0,773800,1,1,0,0,0,0.002128293534244243,13.559070013571313
488,4.0,Oui,Oui,Oui,Non,Non,181.0,64.0,Jabe,24.0,1182846,1,1,1,0,0,0.002181500872600349,13.983434802390137
470,6.0,Oui,Oui,Non,Non,Oui,253.0,255.0,Nyakabiga,2.0,1519435,1,1,0,0,1,0.0016361256544502618,14.23384977133382
189,3.0,Oui,Oui,Oui,Oui,Non,162.0,29.0,Nyakabiga,34.0,1136929,1,1,1,1,0,0.0016361256544502618,13.943842205314132
14,5.0,Oui,Oui,Oui,Non,Non,262.0,73.0,Kinanira,39.0,1786611,1,1,1,0,0,0.001998321410015587,14.395831646895852
382,2.0,Oui,Oui,Non,Non,Oui,108.0,154.0,Jabe,18.0,837956,1,1,0,0,1,0.002181500872600349,13.638722065498516
297,6.0,Oui,Oui,Oui,Non,Oui,171.0,177.0,Gasekebuye,24.0,2600000,1,1,1,0,1,0.0020293031373026502,14.77102238760702
123,6.0,Oui,Oui,Non,Oui,Non,290.0,251.0,Ngagara,25.0,2024510,1,1,0,1,0,0.002145738563213458,14.520838747879948
11,1.0,Oui,Oui,Non,Non,Oui,35.0,51.0,Ngagara,4.0,2500000,1,1,0,0,1,0.002145738563213458,14.731801689838349
259,4.0,Oui,Non,Oui,Non,Non,174.0,269.0,Kinanira,30.0,1140428,1,0,1,0,0,0.001998321410015587,13.946915065371124
349,3.0,Oui,Oui,Oui,Non,Non,171.0,118.0,Musaga,5.0,818429,1,1,1,0,0,0.0021998328127062344,13.615143149839202
377,2.0,Oui,Oui,Oui,Non,Non,101.0,55.0,Gasekebuye,14.0,1229262,1,1,1,0,0,0.0020293031373026502,14.021925360772464
264,3.0,Oui,Oui,Oui,Non,Non,168.0,296.0,Kinama,22.0,451020,1,1,1,0,0,0.002128293534244243,13.019269180593689
364,1.0,Oui,Non,Oui,Non,Non,41.0,175.0,Bwiza,25.0,258517,1,0,1,0,0,0.002013693113169553,12.462720603001555
282,5.0,Oui,Oui,Oui,Non,Oui,232.0,85.0,Buyenzi,4.0,919685,1,1,1,0,1,0.010427934749686295,13.731787586419811
343,1.0,Oui,Oui,Oui,Non,Non,59.0,273.0,Kiriri,25.0,894878,1,1,1,0,0,0.001998321410015587,13.704443792586527
29,4.0,Oui,Oui,Oui,Non,Non,52.0,95.0,Kiriri,39.0,934995,1,1,1,0,0,0.001998321410015587,13.748297530186807
34,4.0,Oui,Oui,Oui,Non,Non,171.0,154.0,Kinanira,38.0,1557746,1,1,1,0,0,0.001998321410015587,14.258751104550017
363,4.0,Oui,Oui,Non,Non,Oui,223.0,23.0,Kiriri,33.0,2164627,1,1,0,0,1,0.001998321410015587,14.587759080174841
340,6.0,Oui,Oui,Oui,Oui,Oui,282.0,167.0,Rohero,7.0,2600000,1,1,1,1,1,0.002061260667023952,14.77102238760702
130,4.0,Oui,Non,Oui,Oui,Non,55.0,154.0,Jabe,1.0,761904,1,0,1,1,0,0.002181500872600349,13.543577154980584
272,4.0,Oui,Oui,Non,Non,Oui,191.0,12.0,Musaga,19.0,1055370,1,1,0,0,1,0.0021998328127062344,13.869402921842624
46,6.0,Oui,Oui,Oui,Oui,Non,320.0,192.0,Kiriri,15.0,150000,1,1,1,1,0,0.001998321410015587,11.918397239722838
169,4.0,Oui,Non,Oui,Non,Oui,217.0,286.0,Nyakabiga,20.0,774690,1,0,1,0,1,0.0016361256544502618,13.560219519152227
502,3.0,Oui,Non,Non,Non,Oui,171.0,76.0,Rohero,32.0,1995431,1,0,0,0,1,0.002061260667023952,14.50637112621779
222,5.0,Oui,Oui,Non,Non,Non,243.0,49.0,Gasekebuye,32.0,2248408,1,1,0,0,0,0.0020293031373026502,14.625733412948515
4,5.0,Oui,Oui,Oui,Oui,Oui,227.0,174.0,Gasekebuye,22.0,2600000,1,1,1,1,1,0.0020293031373026502,14.77102238760702
280,6.0,Oui,Oui,Non,Non,Non,257.0,142.0,Nyakabiga,20.0,1048698,1,1,0,0,0,0.0016361256544502618,13.86306090626049
409,6.0,Oui,Oui,Non,Non,Non,260.0,63.0,Nyakabiga,1.0,1680764,1,1,0,0,0,0.0016361256544502618,14.334759604878696
147,4.0,Oui,Oui,Non,Non,Oui,175.0,51.0,Nyakabiga,20.0,1152457,1,1,0,0,1,0.0016361256544502618,13.957407610672627
395,2.0,Oui,Oui,Oui,Non,Non,74.0,137.0,Cibitoke,12.0,616713,1,1,1,0,0,0.002045157068062827,13.332160662197506
345,4.0,Oui,Oui,Non,Non,Non,180.0,191.0,Jabe,16.0,948691,1,1,0,0,0,0.002181500872600349,13.762839472753445
162,2.0,Oui,Oui,Oui,Oui,Oui,112.0,97.0,Kamenge,14.0,1066380,1,1,1,1,1,0.002181500872600349,13.879781230733673
482,3.0,Non,Oui,Non,Non,Non,133.0,240.0,Jabe,4.0,661844,0,1,0,0,0,0.002181500872600349,13.402786668531528
73,2.0,Oui,Oui,Non,Non,Non,127.0,42.0,Gasekebuye,12.0,1296838,1,1,0,0,0,0.0020293031373026502,14.075440322979766
